Z,ACH,status,reduction_pct,eACH_uv_steady_state,eACH_uv_steady_state_corrected,eACH_uv_well_mixed,ventilation_ach_measured,ach_source,fluence_mean,phase1_T_ss,phase1_T_ss_cv,phase1_converged,phase1_iterations,phase1_mass_balance_ratio,phase1_mass_balance_ok,phase2_T_ss,phase2_T_ss_cv,phase2_converged,phase2_iterations,Patient_phase1_T_ss,Patient_phase2_T_ss,exhaust_phase1_T_ss,exhaust_phase2_T_ss
1.7,1.5,OK,95.16447662571127,29.520427033312394,21.741135691842015,17.561109231436298,1.1047165239500862,extrapolated_T_infinity,2.8694622927183495,1.349190108888889,0.0016151196416701766,True,9000,0.8919962925158075,False,0.06716246061666667,0.01408260647122062,False,8000,0.873272483851852,0.00015644915125,1.3310602644444445,0.0017121782083333334
1.7,3.0,OK,83.06978932477294,14.719803123240029,13.06363596470768,17.561109231436298,2.6624614178600914,extrapolated_T_infinity,2.8694622927183495,1.121402038888889,0.000725358759358674,True,6000,0.9595009560098495,True,0.19190568,0.002509393052021534,True,3000,0.14353220811111114,0.0008930887275555555,1.6543896111111112,0.1372388
1.7,6.0,OK,64.33683678077615,10.82408249407827,11.904267130584167,17.561109231436298,6.598767408007202,extrapolated_T_infinity,2.8694622927183495,0.912399926,0.0024310338194929795,True,3000,0.9729155218719602,True,0.32456369653333333,0.006225840704638566,True,2500,0.25739227933333336,0.013589046696000001,1.8639137444444442,0.6526696864
1.7,9.0,OK,48.92490467177094,8.621112485767062,13.226753663756847,17.561109231436298,13.808053562732281,extrapolated_T_infinity,2.8694622927183495,0.6544287144242426,0.02004128925267881,False,5500,0.9923587911559664,True,0.33446127724999997,0.029044836086129837,False,8000,0.11248568437575758,0.014239317123333333,1.7055586678787877,0.9924441244166666
3.4,1.5,OK,97.17100676687808,51.52239618101466,37.94509494311313,35.122218462872596,1.1047165239500862,extrapolated_T_infinity,2.8694622927183495,1.349190108888889,0.0016151196416701766,True,9000,0.8919962925158075,False,0.038687177440000005,0.016291395700600758,False,7500,0.873272483851852,5.160494084444444e-07,1.3310602644444445,6.187721081777778e-05
3.4,3.0,OK,91.03623490184428,30.46807917375309,27.04002842547472,35.122218462872596,2.6624614178600914,extrapolated_T_infinity,2.8694622927183495,1.121402038888889,0.000725358759358674,True,6000,0.9595009560098495,True,0.10283972366666667,0.0032093486933493587,True,2000,0.14353220811111114,0.0003805140953333334,1.6543896111111112,0.031114849600000005
3.4,6.0,OK,77.45597809493032,20.61459443778629,22.671818984225116,35.122218462872596,6.598767408007202,extrapolated_T_infinity,2.8694622927183495,0.912399926,0.0024310338194929795,True,3000,0.9729155218719602,True,0.20538911925,0.011202471545375648,False,8000,0.25739227933333336,0.0023817345145833333,1.8639137444444442,0.3171190775
3.4,9.0,OK,62.675819378667555,15.11305446007861,23.186873942361714,35.122218462872596,13.808053562732281,extrapolated_T_infinity,2.8694622927183495,0.6544287144242426,0.02004128925267881,False,5500,0.9923587911559664,True,0.24682247840000002,0.031845658900693304,False,7500,0.11248568437575758,0.0048674195692444445,1.7055586678787877,0.6643202164444445
7.0,1.5,OK,98.31781674370532,87.66983297670113,64.56687542753727,72.31044977650241,1.1047165239500862,extrapolated_T_infinity,2.8694622927183495,1.349190108888889,0.0016151196416701766,True,9000,0.8919962925158075,False,0.022629067386666663,0.00378594817395142,True,2500,0.873272483851852,2.056081458133333e-05,1.3310602644444445,5.895929528e-06
7.0,3.0,OK,95.36941752138772,61.78666590772089,54.83487137250611,72.31044977650241,2.6624614178600914,extrapolated_T_infinity,2.8694622927183495,1.121402038888889,0.000725358759358674,True,6000,0.9595009560098495,True,0.05205168600000001,0.003577290676918065,False,2000,0.14353220811111114,9.416687706666666e-06,1.6543896111111112,0.00216176499
7.0,6.0,OK,87.15649016549051,40.71620201417589,44.779457804830166,72.31044977650241,6.598767408007202,extrapolated_T_infinity,2.8694622927183495,0.912399926,0.0024310338194929795,True,3000,0.9729155218719602,True,0.11694556183333332,0.01725847773741701,False,8000,0.25739227933333336,0.00012472656632166667,1.8639137444444442,0.095711949775
7.0,9.0,OK,75.53278069269513,27.783910288133885,42.62685793785568,72.31044977650241,13.808053562732281,extrapolated_T_infinity,2.8694622927183495,0.6544287144242426,0.02004128925267881,False,5500,0.9923587911559664,True,0.16047651283333333,0.025964706221645827,False,8000,0.11248568437575758,0.000431614420185,1.7055586678787877,0.35318128758333334
8.5,1.5,FAILED (Phase 2 diverged - see analysis),,,,,,,,,,,,,,,,,,,,,
8.5,3.0,OK,95.98753179720116,71.7669476335635,63.69224305064946,87.8055461571815,2.6624614178600914,extrapolated_T_infinity,2.8694622927183495,1.121402038888889,0.000725358759358674,True,6000,0.9595009560098495,True,0.04521479306666667,0.00700911964401,True,6000,0.14353220811111114,9.52076927e-09,1.6543896111111112,0.0010077687512222223
8.5,6.0,OK,89.12197206400934,49.15705636449612,54.06266356860166,87.8055461571815,6.598767408007202,extrapolated_T_infinity,2.8694622927183495,0.912399926,0.0024310338194929795,True,3000,0.9729155218719602,True,0.09903442940833332,0.019388983090470546,False,8000,0.25739227933333336,4.553332264458333e-05,1.8639137444444442,0.06167102377500001
8.5,9.0,OK,78.57912045275998,33.015081500981644,50.65266819372513,87.8055461571815,13.808053562732281,extrapolated_T_infinity,2.8694622927183495,0.6544287144242426,0.02004128925267881,False,5500,0.9923587911559664,True,0.14053633766666668,0.02643049445452803,False,8000,0.11248568437575758,0.00019090746472750003,1.7055586678787877,0.27578112608333333
