Z_susceptibility,ACH_nominal,ventilation_ACH_T_measured,ventilation_measurement_method,eACH_uv_T_well_mixed_ideal,eACH_uv_T_steady_state_nominal_basis,eACH_uv_T_steady_state_corrected,reduction_pct,reduction_pct_corrected,ach_source,phase1_T_ss_windowed,phase1_T_inf_extrap,phase1_converged,phase1_iterations,phase1_windowed_vs_extrap_pct_gap,phase2_T_ss_windowed,phase2_T_inf_extrap,phase2_converged,phase2_iterations,phase2_windowed_vs_extrap_pct_gap,phase1_mass_balance_ratio
1.7,3,1.8063356387415308,control_run,17.561109231436298,17.525306182829933,16.7197378854291,85.38389647746354,90.24976535699895,extrapolated_T_infinity,0.3239326014736842,0.3323743612922232,True,7600,2.5398348373558877,0.048696785146666664,0.048580180728840704,True,2500,-0.24002466865409547,0.9516857031697861
1.7,6,3.7491764645322685,control_run,17.561109231436298,17.685509606517645,17.478614933185458,74.66805612512997,82.33835826681735,extrapolated_T_infinity,0.31755417407407405,0.33473349859275736,False,3600,5.132239405648486,0.0844501932,0.08479450199390617,False,2000,0.4060508474133411,0.9373037924400153
1.7,9,5.281839986677728,control_run,17.561109231436298,14.552123842314094,27.04549039628439,61.78688571673325,83.66137901241149,extrapolated_T_infinity,0.21770755394871794,0.21856543887144234,True,5200,0.39250712608272803,0.08659759099999999,0.08352066093966778,False,3000,-3.6840346157639514,0.9705711816806125
3.4,3,1.8063356387415308,control_run,35.122218462872596,35.928347935058135,34.24593056536323,92.29353373792095,94.98967518847437,windowed_average,0.3239326014736842,0.3323743612922232,True,7600,2.5398348373558877,0.024963756644444446,,True,3000,,0.9516857031697861
3.4,6,3.7491764645322685,control_run,35.122218462872596,34.590591175108834,32.62954691907392,85.218249288078,89.69404059345906,extrapolated_T_infinity,0.31755417407407405,0.33473349859275736,False,3600,5.132239405648486,0.049023560666666674,0.04947947131127634,False,2000,0.92141373488315,0.9373037924400153
3.4,9,5.281839986677728,control_run,35.122218462872596,27.942690926014944,45.625016834721734,75.63794143197559,89.62450185206204,windowed_average,0.21770755394871794,0.21856543887144234,True,5200,0.39250712608272803,0.053038041800000005,,False,3000,,0.9705711816806125
6,3,1.8063356387415308,control_run,61.98038552271635,69.13927710501986,65.00318903722444,95.84137778975436,97.29629024079655,windowed_average,0.3239326014736842,0.3323743612922232,True,7600,2.5398348373558877,0.01347113311111111,,True,3000,,0.9516857031697861
6,6,3.7491764645322685,control_run,61.98038552271635,66.68601022089206,61.39459659057191,91.74531662727661,94.24476617072686,extrapolated_T_infinity,0.31755417407407405,0.33473349859275736,False,3600,5.132239405648486,0.02826758917777778,0.027631190451271624,False,3000,-2.3031896784485784,0.9373037924400153
6,9,5.281839986677728,control_run,61.98038552271635,51.10235424360581,77.53892551293816,85.02554498361019,93.62256560318531,windowed_average,0.21770755394871794,0.21856543887144234,True,5200,0.39250712608272803,0.03260051973333333,,False,3000,,0.9705711816806125
