Z,ACH,measured_flow_rate,nominal_flow_rate,measured_ach,nominal_ach,ratio,within_tolerance,tol
1.7,3,0.032529,0.032895999999999995,2.9665308852140084,3,0.9888436284046694,True,0.1
1.7,6,0.0650946,0.06579199999999999,5.936399562256811,6,0.9893999270428018,True,0.1
1.7,9,0.0975976,0.09868799999999998,8.900559338521402,9,0.9889510376134892,True,0.1
3.4,3,0.0325107,0.032895999999999995,2.964861989299611,3,0.988287329766537,True,0.1
3.4,6,0.0650946,0.06579199999999999,5.936399562256811,6,0.9893999270428018,True,0.1
3.4,9,0.0975976,0.09868799999999998,8.900559338521402,9,0.9889510376134892,True,0.1
6,3,0.0325107,0.032895999999999995,2.964861989299611,3,0.988287329766537,True,0.1
6,6,0.0650632,0.06579199999999999,5.9335359922179,6,0.98892266536965,True,0.1
6,9,0.0975976,0.09868799999999998,8.900559338521402,9,0.9889510376134892,True,0.1
